question,answer_with_rag,answer_without_rag,retrieved_contexts
"Who was Moses a ""picture"" of according to John J. Parsons?",According to John J Parsons Moses was a picture of Yeshua Jesus,"According to John J. Parsons, Moses was a ""picture"" of **Christ**. 
","[""Moses' Prophecy of Messiah Jesus as the Prophet like unto Moses by John J. Parsons"", 'Like the patriarch Joseph before him, Moses was a ""picture"" of Yeshua in various significant ways. Though he was a Jew from the tribe of Levi, he appeared as a ""prince of Egypt"" to his own people and was educated in all the wisdom of the Egyptians (Acts 7:22). And though he was God\'s chosen deliverer, Moses was initially rejected by the Israelites and then turned to the Gentiles, taking a ""foreign"" bride. After being severely tested in the desert, he was empowered by God\'s Spirit to become Israel\'s', 'We further read that when Philip encountered Nathanael, he said, ""We have found Him of whom Moses in the law, and also the prophets, wrote - Yeshua minetzaret ben Yosef (Jesus of Nazareth, the son of Joseph)"" (John 1:45). After Yeshua).Yeshua is the ""Prophet Like Unto Moses""In light of these passages of Scripture, here are thirty (30) ways in which Yeshua minetzeret ben Yosef indeed resembled Moses: How, then, was Jesus a Prophet ""like Moses""?.', 'This verse is the only place in the entire Torah where Moses explicitly identifies himself as a prophet of the LORD. Moreover, this is also the only passage where Moses identifies the coming of the Messiah as ""a Prophet like me"" (Deut 18:15; John 6:14). In the New Testament we read that the soferim (scribes) had sent a delegation to question Yochanon the Immerser (John the Baptist), asking him two questions:', 'For had you believed Moses, you would have believed me: for he wrote of me - John 5:46 Related Discussion: << Return']"
What are some of the specifications of the camera that the author won from Camera House?,Here are some specifications of the camera Sensor Type CCD Sensor Size 123 62x46mm Megapixels 138 MP Light Sensitivity 1600 ISO boost to 3200 ISO Screen Type LCD 27 with 230k dots Lens Zoom 8x 25mm wide angle to 200mm telephoto Aperture f29 wide angle and f59 telephoto Macro Focus 5 cm Form Factor 100x56x24 mm Let me know if youd like to know more about a specific feature,"Please provide the text mentioning the camera won from Camera House so I can answer your question. 

","['Form factor Size 100x56x24 mm Depth 0,9″ Weight 129 g Interchangeable lenses No Waterproof No Viewfinder Type None Video Format 720p @ 30fps Supports 24p No High-speed framerate None External mic jack No Autofocus Contrast detection Continuous focus Unknown All formats 720p @ 30fps 480p @ 30fps 320 x 240 @ 30fps Features Panorama No HDR No 3D No Image stabilization Lens Supports RAW No GPS No Focus system Autofocus Contrast detection Focus points Unknown Cross type focus points Unknown Shutter Max 1/2000s', 'Before I go through my thoughts and shots, I suppose I best list it’s specs: Sensor Type CCD Size 1/2.3″ 6.2×4.6mm Megapixels 13.8 MP Light sensitivity 1,600 ISO Light sensitivity (boost) 3,200 ISO Sensor (Advanced) True resolution 9.7 MP Native resolution 4288 x 3216 Pixel size 2 µm² Screen Type LCD Size 2,7″ Resolution 230k dots Touch screen No Flips out No Lens Zoom 8x Wide angle 25 mm Telephoto 200 mm Aperture (wide angle) f/2.9 Aperture (telephoto) f/5.9 Macro focus 5 cm Form factor Size 100x56x24 mm', 'So after basically putting it through it’s paces, I have to say I am thoroughly impressed with this nifty little point and shoot and can see it accompanying me in my car often when I choose not to bother taking my DSLR’s. About the only thing I could have asked for more out of it was the ability to shoot raw…but then I did not pay for it, I won it thanks to Camera House. haha', 'One thing that did strike me upon editing these pics from the camera (basic contrast and re-size) is how ‘filmic’ the images look due to that great little CCD sensor. This is something you will not find in a CMOS sensor camera as they definitely have more of a digital look too them. I must admit I was looking forward to the possibility of this as I am also an avid film shooter and was definitely not disappointed.', 'Hey guys, I know I’ve been a little slow to post lately, but I hope to correct this. haha So I was lucky enough to win this gorgeous little point and shoot over the recent Christmas holidays thanks to Camera House! I was very stoked and have to give a big shout out and thanks to them. Check them out on their Facebook page:']"
"What is the general impression of Bloc Party's album ""Four"" according to the context?",The album Four is generally viewed very positively  The writer praises it as a strong comeback highlighting its collaborative feel return to the bands roots and engaging songwriting  They acknowledge some minor flaws but ultimately find it a rewarding and enjoyable listen,"Please provide the context about Bloc Party's album ""Four"". 

For example, you could say:

* ""I read a review of Bloc Party's album 'Four'...""
* ""My friend told me about Bloc Party's album 'Four'...""
* ""I'm looking for information about the critical reception of Bloc Party's album 'Four'.""


Once you give me some context, I can tell you the general impression of the album. 

","['Bloc Party had never let me down before, and they still haven’t. Four is a collection of songs that are lucky to exist when you consider the band’s recent history; tensions supposedly having reached boiling point after Intimacy, rumors of the search for a new singer. Four‘s name, aside from the most obvious numeral significance, seems to have another meaning; this isn’t an album that gives the impression of being dictated by one person but rather, feels like more of a team effort (yes, they are four', 'effort (yes, they are four members in the band); granted, the lyrics are still classic Okereke, which is perfectly fine considering I’ve always enjoyed his writing (it’s mostly great here, once again) but instrumentally, the album doesn’t contain a shred of the rather poor fitting electronica he’s indulged in over the past few years, that particular itch having been scratched with his solo work. (and don’t get me wrong, such elements have their place in Bloc Party but Intimacy demonstrated their limits).', 'I’ve looked hard but that’s about the only flaw I can really find with Four. Maybe it’s my Bloc Party fanboyism or a hunger gone unsatisfied for so long clouding my judgement, but I can’t really care when I’m still enjoying it so much after so many listens. It was worth the wait.', 'The remaining third, in particular Day Four and The Healing demonstrate their retained ability to create the touching, sombre, indie ballads which Bloc Party have been known and renowned for in the past. It’s a combination which works well and never falters throughout the album’s 43 minute running time.', 'By the time I was a fan, roughly around late 2008, opinions had already formed and solidified about their three albums and supposed progressive downfall. I went into all of them with no real expectations and was totally unaware of the growing discontent with the band’s direction. Perhaps my blissful ignorance of the critical and public incense was a factor in my near equal enjoyment and appreciation of each record’s intricacies.']"
Who is set to replace Gary Waters as the coach of the Scarlet Knights?,Fred Hill Jr is set to replace Gary Waters as the coach of the Scarlet Knights,"Steve Pikiell is the current coach of the Rutgers Scarlet Knights.  
","['With each passing day, although neither team has played a game and – because it’s an evaluation period and neither staff can speak to a recruit – Rutgers puts more distance between itself and in-state rival Seton Hall. By the end of the week, Fred Hill, Jr., will formally become the next coach of the Scarlet Knights, replacing Gary Waters, who resigned. The Post learned that St. Anthony coach Bob Hurley is considering an opportunity to join Hill’s staff, but the timing probably isn’t right.', 'Former coaches Fran Fraschilla, John Carroll and Pete Gillen could be successors if Orr does not stay. Gillen – who could also wind up at his alma mater, Fairfield – and Quinlan are longtime friends. In an interview early in the season, Quinlan praised Gillen’s work ethic and style, but prefaced it all by saying: “We have a coach.” Carroll, one of P.J. Carlesimo’s assistants during The Hall’s glory days, coached the Boston Celtics after a stint at Duquesne.', 'Hofstra coach Tom Pecora, who is said to be happy in Hempstead, and George Mason coach Jim Larranaga of The Bronx are also possibilities. Both are in the midst of postseason runs – Pecora in the NIT, Larranaga in the Sweet 16. – additional reporting by Tim Sullivan', '“At this point I’m looking forward to two more years at St. Anthony,” Hurley said. “I feel I need a number to get me to shut it down and the 900 is out there. Then I think I’d like to try something else in coaching.” Just the fact that Hill has such a strong relationship with Hurley is great news for Rutgers and bad news for Seton Hall. Seton Hall coach Louis Orr has two years left on his contract, but his status is in limbo.', 'According to the sources, Orr is mulling three possible scenarios: He accepts a guaranteed one-year extension; he opts to leave because an extension isn’t offered; he refuses to make changes to his staff, forcing a parting of the ways. Seton Hall athletic director Joe Quinlan did not return phone calls, but Quinlan – who will meet with Orr this week – has a list of candidates in case he needs to make a change.']"
"What were the objectives of the study conducted by Stefania Martignon, Gloria Bautista-Mendoza, María Clara González-Carrera, Gloria Lafaurie-Villamil, Veicy Morales, Ruth M Santamaría in 2008?",The objectives of the study were to design three instruments for evaluating oral health knowledge attitudes and practice in parentscaregivers of low socioeconomic status 05 yearolds,"The 2008 study by Martignon et al. aimed to **evaluate the effectiveness of a community-based intervention program for preventing HIV transmission in Colombia**. 
","['Filter Results: - Full text PDF available (0) Publication Year 1989 2008 - This year (0) - Last 5 years (0) - Last 10 years (1) Publication Type Co-author Journals and Conferences Learn More - Stefania Martignon, Gloria Bautista-Mendoza, María Clara González-Carrera, Gloria Lafaurie-Villamil, Veicy Morales, Ruth M Santamaría - Revista de salud publica - 2008', ""- 2008 OBJECTIVES Designing three instruments for evaluating oral health knowledge, attitudes and practice in parents/caregivers of low social-economic status 0-5 year-olds. Evaluating the instruments' reliability in terms of internal consistency and analysing items. METHODS Three instruments were constructed for evaluating low social-economic status 0-5… (More) - Veicy Morales - Social biology - 1989 - Luis F Viejo, Veicy Morales, P Puñal, J. L. Pérez, Renata Aparecida Soriano Sancho"", 'comparison and contrast essay on high school and college class homework a pickett buffy the vampire slayer thesis customer satisfaction essay childhood obesity argument essay causes of ww2 essay questions compare contrast essay introduction write copd case study nursing scribd discussion essay format creative title for of mice and men essay compass writing essay practice test page college short essay format differences between personal narrative research paper compare contast essay', 'can someone revise my essay child labour essays india development business plan definition essay of love chinese dictionary cite scientific research paper cornell architecture thesis book composition essay definition ca display cfm ethesis_id 1139 business proposal format critical thinking skills activities for kindergarten catcher in the rye religion essay coursecompass com death salesman tragedy essay questions dignity of labour essay for children critical assessment definition', 'Authors : Richard Bolden, Morgen Witzel and Nigel Linacre']"
What has been the author's primary source of online income?,Affiliate marketing,"Please provide me with the author's name so I can answer your question. 

","['Must of us know that there are certain things you are the big businessman and you can be buying a car. There is an amazing Mercedes-Benz S coupe on the way. It’s got a wonderful wrap over glass roof/ screen and a gorgeous shape. I ‘m not sure exactly when it’s going to be released, though. Loving your content as always. I wonder, what was your biggest motivation for this lifestyle. You earn so much from affiliate marketing. How were you able to make affiliate sales?', 'MOBE has become my #1 online money-making system. It has allowed me to live Dot Com Lifestyle, drive $250K of cars for free, send Sally to one of the Top 50 private schools in America, and buy a $2 million house for cash.. Attend The IM Freedom Workshop If you wish to talk to an expert face to face about Internet marketing, then I invite you attend a live IM Freedom Workshop in your area.. Find the closest workshop here.', 'Apply for My Ultimate Dot Com Lifestyle Coaching Program $1.65 million in a year like I did, but it’s pretty easy to make $1,000 a month from it. The application fee is one time $49, and allows you to go through all 21 steps.. 5 thoughts on “Dot Com Lifestyle Vlog – Made $76,566.37 – I’m Going Car Shopping!” its really amazing also motivation for the beginner if you really want to do something in life……… If I were you, Id have the grey one 🙂', 'By David Bakke David Bakke writes about money topics like saving money, planning for retirement, smart shopping, and building wealth on the Money Crashers personal finance blog.', 'Author Sandy Sloane The Zebra Ink recently held a Holiday Pop Up Book Shoppe in Rochester, NY. One of the featured authors that day was Sandy Sloane. Meet Sandy Sloane']"
"What is the ""Ten Items or Less"" Rule in the game context described?",The Ten Items or Less Rule allows players to take ten basic items from an equipment list for free at character creation These items include things like food water shelter light and tools  Players are encouraged to be creative with their choices and focus on spending their gold on more specialized equipment like weapons and armor,"The ""Ten Items or Less"" rule, often found in roguelikes and similar games, limits the number of items a player can carry at once.  

","['I call it the ""Ten Items or Less"" Rule. See, you can get basic items and armor for free (that\'s up to light armor and any one-handed item) for free, because they\'re practically free anyways and I\'m not really picky. I don\'t require dynamic encumbrance counts, for one. Math at the table should be limited to figuring out one\'s hit rolls by subtracting THACO from the die roll, or by figuring out how much gold goes where at the end of an adventure.', ""See, this rule does a couple of things. Firstly, it means that players aren't agonizing over whether to spend their 5 silver on ropes at character creation. There are more interesting times to worry about gold, and that's at the table, not when we're trying to figure out who's bringing what and how. Second, it's essentially a starting package for you- you have some odds and ends, and it encourages creativity. So you've already got food, water, shelter, and light. You've got another item to bring. Should"", ""But for two, you get ten items from the equipment table for free. You can have a bedroll, two torches, waterskin (water), flask(rum), two 50' ropes, tent, blanket, and 10' pole. Or you could have a hammer, 50' rope, waterskin (water), two blankets, three days of rations, a bedroll, and a tent. For free. Seriously, don't even count them, it doesn't matter. I'm not looking over your math anyways, just take ten items, stick them in a backpack, and spend your gold on weapons, armor, ammunition, that sort of"", ""ammunition, that sort of thing. When you're done, though, all your gold is gone. Instead of keeping it, you get 1d6x10 silver. That's 10-60, roughly a month's wages for a skilled laborer."", ""And lastly, it means that characters start out kind of poor. You know, the driving motivation behind half of what Conan does (the other half being revenge), and all of what people do in Theives' World. It's the simplest, and easiest motivation in the world. If a night in an inn costs 1 gold, and you currently have roughly 1/6th of one gold peice, you're going to need to make back the investment you guys just now made into all of that shiny armor and weapons and stuff. Hey, night's falling. You'd better get""]"
Who has been running and hiking up and down the hills?,Torrey has been running and hiking up and down the hills,"I need more information to answer that.  

Please tell me:

* **Where are these hills?** 
* **When did this happen?**
* **Do you have any other details?** 


With more context, I can try to help! 
","['Looks like a great place to get fit! Wish I was walking those hills with you! I am dying for some good exercise at this point :-) Have a Merry Christmas! Taryn recently posted…Follow-up Friday! Oh I bet you are. You’ll get there, then you can come hike the desert with us! Roxy, you’r so cute, lying there. And about Torrey I think he has a lot of fun, running up those hills. Laika recently posted…Benn og honningkagerne.', 'Up and down the hills Up and down the hills in the desertRight outside our door is a small dirt road. To call it a road is a stretch I think, more like a 4 wheeler path. It goes up and down hills, around and through washes, and keeps going farther then we have been on it. Mom has been taking Torrey on this road and they are running and hiking up and down the hills. Torrey is wiped out when they get back, so it must be fun. Torrey is so fast , good but dont go to far from mom :)', 'We have a hill that steep too, I’m not as fast as Torrey, but I still beat Mom and Dad. Roxy, I can’t do that pretzel thing, but BuffyCat can. Are you taking lessons from a cat? ~Cooper 2catsandacattledog recently posted…Monday Mischief: A Kitty Christmas Card Such beautiful photos xx Misaki recently posted…Bashful’s second day Nice scenery to get a work out Torrey. You look all snugly Roxy. 2 brown dawgs recently posted…Monday Mischief–I Know Nothing', ""That’s a cute pose, Roxy. Not quite that way but I’ve seen the dogs curled up in some pretty strange ways. Dropping off some woofs & huggies for a wonderful holiday and happy New Year! <3 ~Bailey (Yep, I'm a girl!) Thanks so much!!!! You guys too!! WOW that big hill is very impressive! Were you timid? Ruckus the Eskie recently posted…Syzygium Malaccense"", ""Have you visited Les Romarins? Click here to suggest a Great Thing you've done nearby ...""]"
"What is the required experience and skills for the Lead Hadoop Developer position in Bellevue, WA?",Here are the required experience and skills for the Lead Hadoop Developer position Experience 5 years in software industry with strong experience in Big Data Technologies Big Data Technologies  Strong expertise in Hortonworks with handson experience in Kafka Flume Sqoop Hive Pig Map Reduce Spark and Storm Other Technologies     Solid expertise in J2EE and related technologies     Strong Unix Scripting skills     Good knowledge of Data warehouse and BI technologies     Exposure to ETL and Reporting tools and appliances eg Teradata     Expertise in SQL databases eg MySQL or Oracle and SQL query writing Methodologies  Comfortable with Agile methodologies Communication Excellent communication skills Let me know if you have any other questions,"I do not have access to real-time information, including specific job postings. 

To find the required experience and skills for a Lead Hadoop Developer position in Bellevue, WA, I recommend checking:

* **Job boards:** Indeed, LinkedIn, Glassdoor
* **Company websites:** Look for open positions on the websites of companies in Bellevue, WA.
* **Networking:** Connect with people in the industry through LinkedIn or professional organizations. 


Good luck with your job search! 

","['*Position: Lead **Hadoop Developer with Big data technologies* *Location: Bellevue, WA* *Duration: 6+ Months* *Job description :-* - · At least 5+ years of solid experience in the software industry with strong experience in Big Data Technologies. - · Strong Expetise working in / Understanding of Big data a technologies with strong focus on Hortonworks. Strong knowledge of Kafka, Flume, Sqoop, Hive, Pig, Map Reduce, Spark, Storm with hands on experience - all or most of these. - · Solid technology expertise', '· Solid technology expertise in J2EE and related technologies - · Strong Unix Scripting skills - · Be very comfortable with Agile methodologies - · Good knowledge of Data warehouse and BI technologies - Exposure to ETL and Reporting tools and appliances like Teradata. 8. Excellent Communication Skills. - · Expertise in SQL databases (e.g. MySQL or Oracle) and strong ability to write SQL queries. - · Selected candidates should bring their own laptops. *--* *Thanks and regards,Vicky.', 'Project Control support to delivery teams and function Requirements Degree /HND / or equivalent project controls experience Experience in the upstream oil industry with experience gained in Subsea, FPSO, Construction, Installation and Commissioning activities. Working for both Contractor and Operator Primavera P6 and MS Office Risk Management and Change Management competence Attributes and Behaviours: Excellent verbal, written and aural communication skills; Able to work effectively as part of a team;', 'With data analytics and big data being a common theme, Jonah Group’s work with AMD was of interest. We designed, built and implemented a big data system on Hadoop. The symposium board members did a great job lining up interesting talks, facilitating good networking opportunities and providing fun entertainment. The event was a great success! Interested in learning more, please contact me matthew.solo@jonahgroup.com or Donghui Li, SVP Solution Delivery, Health Insurance, donghui.li@jonahgroup.com', 'Ability to work on own initiative; Takes a proactive approach; Ability to take responsibility and manage tasks through to completion; React quickly & flexible to changing circumstances; Use initiative to ensure issues are overcome; Seek ways to find and apply best practice; Adopt a pragmatic, fit for purpose approach; Open, honest & reliable']"
What is Sandy Sloane's profession and what are her notable works?,Sandy Sloane is a workforce training and development consultant public relations professional and childrens book author Her notable works include Childrens books Four books the result of her lifelong passion for rhyming and storytelling Woman to Watch column  Lead writer for the Democrat  Chronicles weekly column Parenting articles  Focuses on raising selfassured children and addressing bullying and peer pressure,"Sandy Sloane is a **screenwriter**. 

Her notable works include:

* **The Parent Trap (1998)**
* **The Princess Diaries (2001)**
* **The Princess Diaries 2: Royal Engagement (2004)** 



","['Author Sandy Sloane The Zebra Ink recently held a Holiday Pop Up Book Shoppe in Rochester, NY. One of the featured authors that day was Sandy Sloane. Meet Sandy Sloane', 'Sandy Weinberger-Sloane is the Lead Consultant and President of Solutions by Sloane, a workforce training and development/special events/public relations company. For the past 30 years, Sandy has worked in the public and private sectors in a variety of positions focusing on workforce development, employee engagement, special events, and public relations. She has also had a long career in journalism working with local, regional and national online and print publications, and is currently the lead writer for', 'For a complete description and purchase information for each book, please click on the book cover below. To connect with Sandy, please visit', 'A journalist is aided by a youthful feminine hacker in his seek out the killer of a girl who has been dead for forty many years. Director: Stanley Whitney’s work is often a lively assertion for the significance of abstraction in contemporary artwork. He is very best recognized for his grids of variously sized and proportioned blocks in various colours, divided by horizontal and vertical bands.', 'currently the lead writer for the Democrat & Chronicle’s weekly Woman to Watch column. Her parenting articles have covered a variety of issues, most notably raising self-assured children and teaching them how to handle peer pressure and bullying. She speaks professionally on many topics including bullying and peer pressure as well as public relations and networking effectively. Her four children’s books are the culmination of being a lifelong rhymer and storyteller.']"
What are some of the services offered by Kimpton Hotel Monaco in Salt Lake City?,Kimpton Hotel Monaco Salt Lake City offers boutique service a cool vibe and easy access to regional attractions,"Kimpton Hotel Monaco Salt Lake City offers:

* **Pet-friendly accommodations**
* **On-site restaurant and bar**
* **Fitness center**
* **Complimentary bike rentals**
* **24-hour business center**
* **Valet parking** 
* **Free Wi-Fi** 

","['hotel hotel monaco deals salt lake city monaco salt lake city offers guests boutique service, a cool vibe hotel monaco deals salt lake city and easy access to a host of regional attractions kimpton hotel monaco salt lake city offers a variety of hotel honda generator best price eu2000i deals and perk-filled specials. roundtrip flights to ponta delgada city, on são miguel island; checked baggage (1 piece, 23kg, per passenger) carry on baggage.', 'Including vacations, hotels and car rental deals. includes links to their properties, reservations, and a. search hotel deals, read reviews and wander wisely! the base package includes: see tripadvisor’s salt lake city, ut hotel deals and special prices all in one spot. one of the deals available today is los angeles to singapore for $347 round trip for travel next april cute couple coupon book or may. book hotel monaco deals salt lake city a vacation new passat estate discount package at starfish jolly', 'package at starfish jolly beach resort with air canada vacations. hostels and backpackers youth hostels online reservations – book cheap rates instantly online at international youth hostels – reservations with secure. 08.12.2017 · now $110 (was $̶1̶3̶4̶) on tripadvisor: no expedia. with famous cities, epic landscapes, pop culture icons and enthusiastic locals, hotel monaco deals salt lake city the united states has got something for everyone. save! find the perfect hotel within your budget with reviews', 'Full-service restaurants in Collinwood be likely to propose numerous menu classes, as well as starters, salads, side dishes, desserts, and beverages, with quite a few choices contained by each kind. Chefs and cooks will get ready the items to buy, starting from grilling a hamburger to make an extra complicated and sophisticated menu item. Waiters and waitresses present table service in comfy surroundings. Clients increasingly love dining at mid-size or family restaurants, typically run by a large group. By', 'The most general style of a limited-service restaurant in Collinwood, TN is a franchised operation of a nationwide restaurant chain selling fast food. Like elsewhere, these restaurants in Collinwood includes a set menu, the lack of waiters and waitresses and an stress on spotlessness and a resourceful service. Menu ranges will offer narrow diversity and are geared up by personnel with nominal cooking or food-management skills. Foodstuff typically is served in disposable take-out containers that keep the']"
What is the strategy the shy person uses to flirt with girls at work?,The shy person uses a slow gradual approach to flirting It starts with smiling when they make eye contact then progresses to a wave and a Hey I recognize you before finally saying Hi,"Shy people often use subtle flirting techniques:

* **Genuine compliments:**  Focusing on personality or work achievements.
* **Eye contact and smiles:**  Brief, but meaningful.
* **Active listening:**  Showing genuine interest in what she says.
* **Lighthearted humor:**  Sharing a funny observation or story.
* **Finding common ground:**  Discovering shared interests.


Remember, building trust and rapport takes time. 

","[""I'm a shy person, I'm not a smooth-talker from the get-go, I like to learn things before initiating a conversation, or allow the conversation to come to me. At work, finding opportunities to talk or learn anything about an attractive girl is a bit tough."", ""Guys flirt in many different ways, some guys are touchy feely, some just constantly make jokes, so like to talk about how tough they are. I'm a little too shy for those approaches, so I've figured out the perfect strategy for instantly winning a girl over. It's a process, so it takes time, but it's so far been effective. I'm even in this process with two girls at work."", 'Like I said, this is a process. I like to start out by smiling as soon as we make eye contact. For some reason girls are totally drawn in by this move. I let this continue for a few days, then I go to the ""Hey, I recognize you!"" wave along with the smile. Then finally finding an opportunity to pass in close enough proximity to get a ""Hi!"" in.', 'make a good first impression, starting over somewhere else from the bottom.', ""As we've learned, I'm not the type who can walk up and get a number on the spot, some guys have the charm, or body, to overcome the creepiness of that strategy, I don't. Just like all strategies it's important to pick one that fits your strengths and weakness. My strengths almost all reside on or in my head. I don't have the hottest body, genes have decided I should remain a bit skinny, so I don't have those huge muscles the ladies love. I do have cool blue eyes, boyish good-looks, and,what many women over""]"
What is the name of the book series by Charles de Lint that the author of the context recommends?,The author recommends Charles de Lints Newford series,"The Newford series. 
","['Today’s reviews are from Charles de Lint’s Newford series. If you are a fan of urban fantasy and you haven’t read any of the Newford books, you are seriously missing out. The series consists of novels and anthologies of short stories but I am going to focus on some of my favorite novels today and save the short stories for another time. Someplace to be Flying', 'For a complete description and purchase information for each book, please click on the book cover below. To connect with Sandy, please visit', ""And how about Neal Stephenson? He could write a thousand-page book on what he had for dinner last night. Reamde (9780061977961) 35.00, his latest doorstop, has been getting the kind of reviews that would make Jonathan Franzen envious. Neal, I'm still working on it, so don't 'ream me.' Ha, ha!"", 'Now that I am on winter break from school and have lots of free time on my hands, I have decided to post some book reviews that I wrote back before I started this site. I want to do this for two reasons. First of all, I love some of these books and would love to share them with you guys. Secondly, I know myself and my tendency to get obsessive during the semester and so, anticipating that there will probably be a posting drought in our future, I want to get some stuff posted here while I still can.', ""Of course there's always Nicholas Sparks. His new title The Best Of Me (9780446547659) 25.99 will be available on October 11. Nicholas, who has been compared to Ernest Hemingway, mostly by himself, would have been just as deserving of this award, too.""]"
When did Theofilos Mavropoulos join the Conspiracy of Cells of Fire?,Theofilos Mavropoulos joined the Conspiracy of Cells of Fire on April 5th 2013,"Theofilos Mavropoulos joined the Conspiracy of Cells of Fire in **2003**. 
","['In other words, Theofilos Mavropoulos joins the organization on the inside. So, from now on, the R.O. Conspiracy of Cells of Fire will be recorded as having 10 imprisoned members: Haris Hadjimihelakis (who was arrested in 2009), Panagiotis Argirou and Gerasimos Tsakalos (arrested in 2010), Michalis Nikolopoulos (arrested in January 2011), Olga Ekonomidou, Giorgos Polidoros, Christos Tsakalos, Damiano Bolano and Giorgos Nikolopoulos (arrested in March 2011), as well as Theofilos Mavropoulos (arrested in May', 'Two in a previous court proceeding and in older communiqués, I have stood next to the comrades of the Conspiracy of Cells of Fire as an anarchist solidarian but without being a member of the Conspiracy myself…”. Then, he declared before the judges that from April 5th, 2013 he accedes to the Conspiracy of Cells of Fire, claiming also his affinity with the Informal Anarchist Federation.', 'Mavropoulos (arrested in May 2011).', 'This is how one of the most important episodes in the countrys history began, although many other characters have remained almost anonymous even though they contributed resources and organization in support of the movement,Hidalgo is recognized for having reacted together with others such as Ignacio Allende, Juan Aldama and Mariano Abasolo, among others, to the call of Doña Josefa Ortiz de Dominguez who warned that the conspiracy had been discovered.', ""of the far-left but wouldn't want to mix with them socially. He's also obsessed with the Palestinian-Israeli conflict and can divert any kind of conversation towards it (this last one seems to be largely true, judging by the CiF messageboards).""]"
What are some of the new features of the 2013 Mercedes-Benz SL model?,Here are some new features of the 2013 MercedesBenz SL Frontbass system  Transforms the car into a concert hall with the top up or down MAGIC VISION CONTROL A highly efficient system Aluminum construction  Makes the car lighter than its predecessor Retractable hard top  Converts the SL from coupe to roadster in seconds Panoramic roof with MAGIC SKY A unique feature Agility Control Suspension  Standard equipment ABC Active Body Control suspension Available as an option New V8 engine  429 horsepower and 516 lbft of torque ECO stopstart function Standard equipment 7Speed DriverAdaptive automatic transmission  Let me know if you have any other questions,"The 2013 Mercedes-Benz SL introduced:

* **New AMG SL63 and SL65 models:**  More powerful engines and performance upgrades.
* **Redesigned interior:**  Modernized with new materials and technology.
* **Updated infotainment system:**  Featuring a larger display and improved functionality.
* **Active Curve System:**  Enhanced handling and stability.
* **Optional Magic Sky Control:**  A panoramic roof that can switch from transparent to opaque. 


Let me know if you have any other questions. 
","['Other new features include the unique Frontbass system that transforms the luxury sports car into a veritable concert hall with the top up or down and the highly efficient MAGIC VISION CONTROL. To coincide with the launch of the 2013 SL, Mercedes-Benz will also be offering a special-edition model, the Edition 1, for a limited period. It is superbly equipped and comes standard with AMG 19” alloy wheels, designo exclusive leather with contrasting topstitching, AIRSCARF, the Harman/Kardon Logic7 surround', 'Continuing a tradition that began 60 years ago, Mercedes-Benz just unveiled their 2013 SL model. The letters “SL” have represented a blend of sport, style and comfort for six decades, but for the first time, the SL is being constructed almost entirely of aluminum, consequently tipping the scales at considerably less than its predecessor. The 2013 SL550 will become available this spring in U.S. showrooms, and compared with its successful predecessor, will serve up considerably more athletic character without', 'The 2013 SL combines its finely honed profile with a luxurious feel. Premium materials, perfectly finished with great attention to detail, define the style and character of the interior.. The 6th generation SL also offers a retractable hard top that can be operated using a space-saving electrohydraulic mechanism, converting the SL from coupe to roadster and back again in a matter of seconds. Two versions of the retractable hard top include either the glass or the unique panoramic roof with MAGIC SKY', 'The design of the new SL is not only aesthetically beautiful, it also boasts outstanding aerodynamic characteristics, giving the roadster top marks in its segment in three crucial areas: lowest wind noise, virtually on par with a closed sedan; the best comfort during open-air driving, meaning the roof can stay down even at high speed; and virtually no accumulation of dirt on the side windows. The SL is also perhaps the world’s safest roadster, thanks to the collision-optimized aluminum structure, standard', 'The new SL is available with two different suspension systems, one of which is the Agility Control Suspension as standard equipment. The ABC (Active Body Control) suspension system is available as an option. Power for the SL will come from a new V8 that makes 429 horsepower; roughly 12% more despite the lower displacement, while generating 32% more torque for an increase to 516 lb.-ft. The engine features an ECO stop/start function as standard equipment, while the 7-Speed Driver-Adaptive automatic']"
